TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI,PL
TID_OFFER_TITLE_BUILDERPOTION,Free Builder Potion,جرعة بنّاء مجانية,免费建筑工人药水,免費建築工人藥水,Kostenloser Bauarbeitertrank,Pócima del constructor gratis,معجون سازنده رایگان,Ilmainen rakentajan rohto,Potion de l'ouvrier gratuite,Ramuan Tukang Gratis,Pozione del costruttore gratuita,無料大工ポーション,무료 장인 포션,Posyen Pembina Percuma,Gratis bouwvakkersdrankje,Gratis byggerens drikk,Poção do construtor grátis,Бесплатное зелье строителя,น้ำยาช่างก่อสร้างฟรี,Ücretsiz İnşaatçı İksiri,Thuốc Thợ xây miễn phí,Darmowy eliksir konstruktora
TID_OFFER_TITLE_HAPPYVAL,Happy Valentine's Day!,احتفال الفالانتاين!,情人节快乐！,情人節快樂！,Frohen Valentinstag!,¡Feliz Día de San Valentín!,روز ولنتاین مبارک!,Hyvää ystävänpäivää!,Joyeuse Saint-Valentin !,Selamat Hari Valentine!,Buon San Valentino!,ハッピーバレンタインデー！,해피 밸런타인데이!,Selamat Hari Kekasih!,Fijne Valentijnsdag!,Gledelig valentinsdag!,Feliz Valentine's Day!,С Днем святого Валентина!,สุขสันต์วันวาเลนไทน์!,Sevgililer Günün Kutlu Olsun!,Chúc mừng Ngày Valentine!,Wesołych Walentynek!
TID_OFFER_YOURFIRSTPURCHASE,Your First Purchase,شراؤك الأول,首次购买,第一次購買,Dein erster Kauf,Tu primera compra,اولین خرید شما,Ensimmäisen ostoksesi,Premier achat,Pembelian Pertama,Il tuo primo acquisto,初めてのお買い物,대장님의 첫 구매,Pembelian Pertama Anda,Je eerste aankoop,Ditt første kjøp,Sua primeira compra,Ваша первая покупка,การซื้อครั้งแรกของคุณ,İlk Satın Alımın,Giao dịch mua đầu tiên của bạn,Twój pierwszy zakup
TID_OFFER_YOURFIRSTDEAL,Your First Deal,صفقتك الأولى,首购特惠,首購特惠,Dein erstes Angebot,Tu primera oferta,اولین پیشنهاد ویژه شما,Ensimmäinen tarjouksesi,Première offre,Promo Pertama,La tua prima offerta,デビュー記念セール,대장님의 첫 특가,Tawaran Pertama Anda,Je eerste deal,Ditt første tilbud,Sua primeira oferta,Ваша первая акция,ดีลครั้งแรกของคุณ,İlk Fırsatın,Ưu đãi đầu tiên của bạn,Twoja pierwsza oferta
TID_OFFER_ONETIMEUNLOCK,One-Time Unlock,فتح لمرة واحدة,一次性解锁,一次性解鎖,Einmalige Freischaltung,Oportunidad única,قفل‌گشایی یک‌باره,Ainutkertainen avaaminen,Déblocage unique,Penawaran Satu Kali,Offerta irripetibile,1度きりのチャンス,일회성 잠금 해제,Buka Satu Kali,Eenmalige ontgrendeling,Engangsopplåsning,Oportunidade única,Единовременная разблокировка,ปลดล็อคครั้งเดียว,Tek Seferlik Fırsat,Mở khóa một lần,Jednorazowe odblokowanie
TID_OFFER_SPENDAGAINB,Spend Again Bonus,جائزة الإنفاق مجددًا,复购奖励,復購獎勵,Mehrfachbonus,Bonus de nueva compra,پاداش هزینه کردن مجدد,Ostoksille palaajan bonus,Bonus de nouvel achat,Bonus Belanja Lagi,Bonus per un nuovo acquisto,リピート購入特典,재구매 보너스,Bonus Beli Lagi,Bonus: terugkerende koper,Bruk igjen-bonus,Bônus de nova compra,Бонус за новую покупку,โบนัสสำหรับการซื้ออีกครั้ง,Tekrar Harcama Bonusu,Thưởng khi mua hàng lần nữa,Bonus za kolejny wydatek
TID_OFFER_FIRSTTIMEST,First-Time Stack,أول تجميعة,首购加码,首購加碼,Erstes Paket,Oferta de comienzo,بسته اولیه,Ensi kerran pino,Offre de première fois,Penawaran Perdana,Offertona per l'esordiente,初回ボーナス,첫 구매 스택,Tindanan Pertama,Bonus: eerste aankoop,Førstegangsstabel,Oferta para recém-chegados,Первое предложение,โบนัสครั้งแรก,İlk Sefere Özel Teklif,Ưu đãi mua lần đầu,Oferta początkującego
TID_OFFER_FIRSTTIMEBUN,First-Timer Bundle,باقة أول مرة,新手礼包,新手特惠包,Erstes Bundle,Lote de comienzo,بسته ترکیبی مخصوص تازه‌واردان,Ensikertalaisen paketti,Pack de première fois,Paket Pemula,Bundle dell'esordiente,初回限定セット,첫 구매 번들,Pakej Kali Pertama,Startersbundel,Nybegynnerbundel,Pacote para recém-chegados,Первый набор,แพ็คสำหรับการซื้อครั้งแรก,İlk Sefere Özel Paket,Gói dành cho người mua lần đầu,Pakiet początkującego
TID_OFFER_KICKSTARTDEAL,Kickstart Deal,صفقة البدء,起步特惠,起步特惠,Startangebot,Oferta inicial,پیشنهاد ویژه آغازین,Starttitarjous,Offre de départ,Promo Pemula,Offerta per l'esordio,スタートダッシュセール,상쾌한 출발 특가,Tawaran Permulaan,Kickstart-deal,Pangstarttilbud,Oferta inicial,Стартовая акция,ดีลเริ่มต้น,Başlangıç Teklifi,Ưu đãi khởi động,Oferta na start
TID_OFFER_SHOPPERRESUR,Shopper Resurgence,معاودة الشراء,回购狂欢,回購狂歡,Shopper-Wiederkehr,Regreso a la tienda,بازگشت خریداران,Shoppailijan uusi nousu,Résurgence d'acheteur,Kangen Belanja,Guarda chi si rivede!,復帰記念,쇼핑왕의 부활,Kebangkitan Pembeli,Koperscomeback,Shopperens oppsving,Olhe só quem voltou!,Вернувшемуся покупателю,การกลับมาซื้อใหม่,Alışverişe Dönüş,Chào mừng người mua trở lại,Powrót do zakupów
TID_OFFER_WELCOMEBACKBUN,Welcome Back Bundle,باقة الترحيب بالعودة,回归礼包,回歸特惠包,Willkommen-zurück-Bundle,Lote de bienvenida,بسته ترکیبی خوش‌آمد دوباره,Tervetuloa takaisin -paketti,Pack de bon retour,Paket Selamat Datang Kembali,Bundle di bentornato,おかえりセット,복귀 환영 번들,Pakej Selamat Kembali,Welkom terug'-bundel,Velkommen tilbake-bundel,Pacote de boas-vindas de volta,Набор к возвращению,แพ็คต้อนรับการกลับมา,Tekrar Hoş Geldin Paketi,Gói chào mừng quay lại,Pakiet „Witamy z powrotem”
TID_OFFER_RETURNDEAL,Return Deal,صفقة العودة,回归特惠,回歸特惠,Rückkehrangebot,Oferta de regreso,پیشنهاد ویژه بازگشت,Paluutarjous,Offre de retour,Promo Main Kembali,Offerta di bentornato,再会セール,복귀 특가,Tawaran Pengembalian,Terugkomst-deal,Tilbakekomsttilbud,Oferta de retorno,Акция к возвращению,ดีลสำหรับการกลับมา,Geri Dönüş Teklifi,Ưu đãi chào mừng quay lại,Oferta na powrót
TID_DIAMOND_BUNDLE_BUILDER,Builder Pack,حزمة البنّاء,建筑工人礼包,建築工人特惠包,Bauarbeiterpaket,Lote de constructor,بسته سازنده,Rakentajapaketti,Pack ouvrier,Paket Tukang,Pacchetto costruttore,大工パック,장인 팩,Pek Pembina,Bouwvakkerspakket,Byggepakke,Pacote do Construtor,Набор строителя,แพ็คก่อสร้าง,İnşaatçı Paketi,Gói Thợ xây,Pakiet Budowniczego
